7	34.0
12	26.0
14	9.0
16	7.0
22	37.0
28	39.0
33	30.0
35	6.0
37	7.0
40	20.0
49	57.0
52	20.0
63	71.0
65	6.0
72	43.0
79	43.0
84	32.0
91	43.0
99	54.0
101	6.0
103	9.0
108	28.0
117	57.0
125	51.0
127	6.0
129	8.0
137	49.0
144	43.0
146	7.0
148	7.0
151	18.0
162	176.0
164	9.0
172	52.0
175	20.0
185	62.0
189	26.0
192	20.0
200	52.0
208	50.0
211	21.0
217	38.0
224	42.0
232	50.0
235	18.0
238	18.0
243	32.0
254	176.0
256	7.0
263	44.0
270	43.0
274	26.0
277	18.0
280	21.0
282	6.0
289	44.0
293	20.0
304	171.0
306	7.0
310	26.0
314	26.0
318	25.0
323	27.0
325	7.0
331	38.0
332	6.0
339	48.0
346	47.0
353	44.0
362	57.0
368	39.0
376	48.0
384	48.0
395	175.0
397	9.0
407	63.0
415	51.0
427	77.0
430	20.0
438	51.0
440	6.0
442	7.0
444	9.0
446	9.0
453	44.0
457	20.0
465	53.0
472	44.0
474	6.0
486	77.0
488	9.0
490	7.0
495	32.0
499	27.0
504	35.0
506	7.0
513	45.0
515	8.0
524	64.0
528	29.0
531	18.0
534	18.0
545	179.0
549	29.0
551	7.0
558	47.0
560	10.0
566	40.0
569	18.0
574	34.0
584	175.0
590	40.0
594	26.0
598	26.0
601	19.0
603	10.0
608	32.0
613	30.0
624	75.0
630	41.0
637	51.0
639	6.0
641	7.0
644	18.0
647	20.0
654	53.0
658	26.0
667	66.0
671	27.0
677	44.0
679	8.0
686	49.0
689	18.0
695	43.0
698	21.0
707	65.0
716	67.0
727	78.0
737	75.0
739	7.0
742	20.0
751	63.0
760	68.0
765	35.0
767	6.0
776	68.0
781	33.0
784	20.0
786	7.0
791	31.0
793	6.0
796	19.0
801	34.0
807	40.0
810	17.0
816	38.0
821	34.0
826	34.0
830	30.0
835	33.0
841	40.0
849	57.0
855	38.0
860	35.0
863	20.0
870	52.0
874	28.0
885	77.0
895	71.0
901	40.0
904	18.0
908	28.0
919	178.0
925	38.0
933	56.0
935	6.0
937	7.0
944	49.0
951	47.0
959	61.0
962	18.0
967	33.0
969	5.0
971	7.0
977	40.0
979	6.0
982	21.0
984	7.0
987	19.0
989	6.0
999	70.0
1002	20.0
1008	39.0
1011	21.0
1018	49.0
1021	30.0
1026	35.0
1028	7.0
1030	7.0
1032	7.0
1040	57.0
1049	65.0
1057	55.0
1062	33.0
1067	32.0
1070	20.0
1071	7.0
1082	177.0
1088	39.0
1090	5.0
1092	7.0
1099	48.0
1105	40.0
1109	27.0
1112	20.0
1119	52.0
1123	25.0
1125	8.0
1127	7.0
1133	46.0
1138	34.0
1149	182.0
1153	27.0
1157	27.0
1163	38.0
1171	57.0
1177	39.0
1179	7.0
1181	10.0
1186	33.0
1192	38.0
1200	56.0
1203	21.0
1210	48.0
1212	6.0
1217	34.0
1221	35.0
1223	6.0
1230	50.0
1235	33.0
1238	20.0
1240	10.0
1249	68.0
1255	42.0
1260	29.0
1271	179.0
1275	28.0
1278	19.0
1283	33.0
1286	17.0
1291	34.0
1297	41.0
1299	8.0
1303	29.0
1306	20.0
1312	41.0
1315	19.0
1325	76.0
1327	7.0
1329	7.0
1340	178.0
1343	20.0
1349	42.0
1350	7.0
1355	29.0
1358	18.0
1360	7.0
1362	10.0
1365	21.0
1368	20.0
1373	34.0
1378	33.0
1385	48.0
1396	183.0
1401	33.0
1404	19.0
1411	48.0
1413	7.0
1420	45.0
1424	27.0
1430	45.0
1436	38.0
1438	7.0
1444	40.0
1448	26.0
1454	39.0
1456	5.0
1458	7.0
1462	28.0
1463	7.0
1472	68.0
1475	19.0
1479	26.0
1486	46.0
1488	11.0
1492	27.0
1497	33.0
1499	7.0
1506	52.0
1509	17.0
1514	33.0
1516	6.0
1519	19.0
1528	65.0
1530	7.0
1534	25.0
1538	25.0
1543	33.0
1545	8.0
1551	43.0
1562	181.0
1565	18.0
1568	19.0
1574	46.0
1583	63.0
1586	18.0
1593	49.0
1595	5.0
1606	77.0
1608	7.0
1613	31.0
1620	52.0
1626	40.0
1632	41.0
1638	44.0
1641	18.0
1644	19.0
1648	25.0
1651	18.0
1659	57.0
1664	35.0
1670	37.0
1674	26.0
1678	25.0
1685	49.0
1688	16.0
1692	26.0
1695	19.0
1701	41.0
1709	56.0
1713	28.0
1717	25.0
1720	18.0
1723	18.0
1726	19.0
1731	33.0
1734	18.0
1736	7.0
1739	30.0
1746	50.0
1756	74.0
1758	8.0
1760	7.0
1771	77.0
1773	7.0
1775	7.0
1778	17.0
1783	35.0
1793	173.0
1798	31.0
1803	30.0
1813	172.0
1816	18.0
1821	31.0
1826	30.0
1831	33.0
1836	31.0
1846	173.0
1856	171.0
1858	7.0
1860	7.0
1863	18.0
1866	19.0
1869	19.0
1872	17.0
1877	31.0
