0	0
7	21.0
12	16.0
19	23.0
27	24.0
36	30.0
41	15.0
50	27.0
62	40.0
68	17.0
75	20.0
85	33.0
93	23.0
100	20.0
117	155.0
122	16.0
132	34.0
142	32.0
148	18.0
155	22.0
161	17.0
168	21.0
179	34.0
187	26.0
193	18.0
204	37.0
211	22.0
218	21.0
225	22.0
237	39.0
247	32.0
254	22.0
259	16.0
265	17.0
270	14.0
278	25.0
285	24.0
299	44.0
307	25.0
313	18.0
325	38.0
331	17.0
340	28.0
347	21.0
350	25.0
355	27.0
367	39.0
373	17.0
380	21.0
393	41.0
404	33.0
415	36.0
425	30.0
435	29.0
449	44.0
454	17.0
463	27.0
475	43.0
489	43.0
494	17.0
501	23.0
506	15.0
513	22.0
518	17.0
530	38.0
537	21.0
544	21.0
549	17.0
558	29.0
565	20.0
575	31.0
580	16.0
591	33.0
604	41.0
612	26.0
619	20.0
626	22.0
633	23.0
642	27.0
655	43.0
664	29.0
671	22.0
680	25.0
692	37.0
699	21.0
704	16.0
709	18.0
724	46.0
737	41.0
745	26.0
760	48.0
767	21.0
773	18.0
780	22.0
788	25.0
797	30.0
807	33.0
819	37.0
828	28.0
833	16.0
842	29.0
847	16.0
852	16.0
859	21.0
865	16.0
872	22.0
879	23.0
892	43.0
897	20.0
904	23.0
911	22.0
920	30.0
927	22.0
935	27.0
940	17.0
946	19.0
952	21.0
961	31.0
968	23.0
980	42.0
987	25.0
997	35.0
1002	17.0
1010	29.0
1018	26.0
1023	17.0
1034	36.0
1044	35.0
1053	29.0
1059	22.0
1067	26.0
1076	29.0
1083	27.0
1090	23.0
1096	21.0
1102	20.0
1114	42.0
1124	31.0
1132	27.0
1137	17.0
1142	17.0
1152	36.0
1157	16.0
1162	17.0
1170	26.0
1178	27.0
1183	18.0
1191	25.0
1198	25.0
1208	34.0
1215	23.0
1226	37.0
1231	14.0
1236	17.0
1243	22.0
1248	27.0
1263	51.0
1269	18.0
1277	28.0
1284	24.0
1289	17.0
1295	20.0
1300	18.0
1309	29.0
1316	23.0
1321	17.0
1329	29.0
1338	33.0
1347	33.0
1354	23.0
1359	18.0
1367	28.0
1376	32.0
1383	24.0
1393	33.0
1402	31.0
1409	21.0
1415	20.0
1425	32.0
1430	16.0
1439	31.0
1444	17.0
1449	18.0
1456	23.0
1463	25.0
1470	24.0
1479	31.0
1482	25.0
1487	19.0
1497	36.0
1502	16.0
1513	35.0
1520	24.0
1525	18.0
1532	22.0
1539	22.0
1547	28.0
1560	47.0
1574	49.0
1587	43.0
1592	16.0
1603	37.0
1611	28.0
1621	32.0
1628	21.0
1640	42.0
1648	27.0
1654	18.0
1662	27.0
1668	22.0
1673	16.0
1685	42.0
1696	36.0
1703	22.0
1712	30.0
1718	22.0
1725	23.0
1739	50.0
1744	15.0
1753	32.0
1758	16.0
1768	34.0
1776	28.0
1786	34.0
1792	22.0
1800	25.0
1807	24.0
